tick	intents	equal	different	unresolved	causalCodes	producerUsed	consumerUsed	outerResourceControlUsed	gateUsed	dataBytes	runtimeBytes	totalBytes	bucket	candidateEvals	txnCostEvals
73112080	4	3	1	0	source_protection=1	2.787000	0.999000	2.733320	5.520320	2389	5099	7488	10000	8	0
73112090	4	3	1	0	receiver_capacity=1	2.696000	1.043000	2.526356	5.222356	2389	5120	7509	10000	8	0
73112100	4	3	1	0	receiver_capacity=1	2.167000	0.851000	2.356552	4.523552	2398	5120	7518	10000	8	0
73112110	4	3	1	0	receiver_capacity=1	2.862000	2.581000	4.978104	7.840104	2397	5120	7517	10000	8	0
73112120	4	3	1	0	receiver_capacity=1	2.446000	0.893000	2.495168	4.941168	2397	5120	7517	10000	8	0
73112130	4	3	1	0	receiver_capacity=1	2.364000	1.056000	2.654307	5.018307	2398	5120	7518	10000	8	0
73112140	4	3	1	0	receiver_capacity=1	2.582000	0.972000	2.544616	5.126616	2398	5120	7518	10000	8	0
73112150	4	3	1	0	receiver_capacity=1	2.302000	1.068000	2.568106	4.870106	2388	5120	7508	10000	8	0
73112160	4	3	1	0	receiver_capacity=1	2.334000	0.854000	2.392831	4.726831	2388	5120	7508	10000	8	0
73112170	4	3	1	0	receiver_capacity=1	2.299000	0.949000	2.490530	4.789530	2388	5120	7508	9994	8	0
73112180	4	3	1	0	receiver_capacity=1	2.404000	0.948000	2.499403	4.903403	2388	5120	7508	10000	8	0
73112190	4	3	1	0	receiver_capacity=1	2.389000	0.876000	2.551836	4.940836	2389	5120	7509	10000	8	0
73112200	4	3	1	0	receiver_capacity=1	2.022000	0.862000	2.243469	4.265469	2397	5120	7517	10000	8	0
73112210	4	3	1	0	receiver_capacity=1	3.135000	1.102000	3.230529	6.365529	2399	5122	7521	10000	8	0
73112220	4	3	1	0	receiver_capacity=1	2.448000	0.979000	2.737123	5.185123	2398	5122	7520	10000	8	0
73112230	4	3	1	0	receiver_capacity=1	3.016000	0.989000	2.838523	5.854523	2398	5122	7520	10000	8	0
73112240	4	3	1	0	receiver_capacity=1	2.417000	0.946000	2.504410	4.921410	2398	5122	7520	10000	8	0
73112250	4	3	1	0	source_protection=1	2.337000	0.907000	2.486102	4.823102	2389	5103	7492	10000	8	0
73112260	4	3	1	0	source_protection=1	3.032000	0.896000	2.909455	5.941455	2391	5103	7494	10000	8	0
73112270	4	3	1	0	source_protection=1	3.404000	1.003000	3.002792	6.406792	2391	5103	7494	10000	8	0
