tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73087990	2.7307696000061696	1.53	4.26076960000617	2.719	4993	2393	2393	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088000	2.862845699994068	1.041	3.903845699994068	2.213	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088010	3.00744599999598	1.71	4.71744599999598	2.907	4992	2392	2392	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088020	3.426081100005831	1.479	4.905081100005831	2.833	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088030	2.9606538000007276	1.326	4.286653800000728	2.464	4994	2393	2393	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088040	2.9375125000005937	1.442	4.379512500000594	2.594	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088050	3.380327599996235	1.531	4.911327599996235	2.765	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088060	3.469542700011516	1.443	4.912542700011516	2.729	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088070	3.362905000001774	1.806	5.168905000001774	3.083	4995	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
73088080	3.258473400004732	1.682	4.940473400004732	3.064	4994	2393	2393	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
